Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,5.671519417,5.684427418,6.158147094,6.133261972,6.256195102
Australia,AUS,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,6.299997474,6.085499329,5.798737462,5.777271825,5.615118064
Austria,AUT,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,16.69003646,17.04741463,16.84270767,16.82848458,16.54353279
Afghanistan,AFG,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,2185128132,745350999.3,662076704.1,1112110874,1324079358
Albania,ALB,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,645807416.1,674241295.3,801771620.5,929583699.1,963568581.2
Australia,AUS,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,85083617605,73432814092,76942454182,82530036431,78159776856
Austria,AUT,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,63751123948,67480034847,70278076016,76597902270,73620685068
Afghanistan,AFG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,..,..,..,..
Albania,ALB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,2.71443113,2.718032979,2.718032979,2.839279
Australia,AUS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,40.65344145,40.5594116,40.5594116,40.55941
Austria,AUT,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,..,..,..,..
Afghanistan,AFG,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,9.507433905,8.464749289,6.901328545,6.412409422,8.46496564
Albania,ALB,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,5.804435386,4.468150738,4.881038212,4.609022906,4.609076442
Australia,AUS,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,29.4487097,29.41727101,29.60550707,30.19306332,28.47752314
Austria,AUT,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,46.17272463,46.51288925,46.47379674,45.44707605,45.35199604
Afghanistan,AFG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,40,40
Albania,ALB,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,60,70,80,70
Australia,AUS,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,..,..,..,..,..
Austria,AUT,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,..,..,..,..,..
Afghanistan,AFG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0.002078623,0.002797434,0,0,0
Albania,ALB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0.065794847,0.002694133,0,0.040868827,0.036392307
Australia,AUS,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,1.852635467,2.578236444,3.178551261,2.826849489,3.055556256
Austria,AUT,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0.009146037,0.011737604,0.015441949,0,0
Afghanistan,AFG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,4271660156,4069379883,3811699951,3791419922,4137620117
Albania,ALB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,335160003.7,171039993.3,168350006.1,344320007.3,27049999.24
Australia,AUS,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..
Austria,AUT,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..
Afghanistan,AFG,Net official development assistance received (constant 2018 US$),DT.ODA.ODAT.KD,4542020020,4346879883,4003290039,3817229980,4234910156
Albania,ALB,Net official development assistance received (constant 2018 US$),DT.ODA.ODAT.KD,333799987.8,180789993.3,176210006.7,344010009.8,28520000.46
Australia,AUS,Net official development assistance received (constant 2018 US$),DT.ODA.ODAT.KD,..,..,..,..,..
Austria,AUT,Net official development assistance received (constant 2018 US$),DT.ODA.ODAT.KD,..,..,..,..,..
Afghanistan,AFG,Net official development assistance received (current US$),DT.ODA.ODAT.CD,4271660156,4069379883,3811699951,3791419922,4137620117
Afghanistan,AFG,Net official development assistance received (current US$),DT.ODA.ODAT.CD1,4274229980,4069419922,3811739990,3788889893,..
Albania,ALB,Net official development assistance received (current US$),DT.ODA.ODAT.CD,335160003.7,171039993.3,168350006.1,344320007.3,27049999.24
Albania,ALB,Net official development assistance received (current US$),DT.ODA.ODAT.CD1,335160003.7,171039993.3,168210006.7,342890014.6,..
Australia,AUS,Net official development assistance received (current US$),DT.ODA.ODAT.CD,..,..,..,..,..
Australia,AUS,Net official development assistance received (current US$),DT.ODA.ODAT.CD1,..,..,..,..,..
Austria,AUT,Net official development assistance received (current US$),DT.ODA.ODAT.CD,..,..,..,..,..
Austria,AUT,Net official development assistance received (current US$),DT.ODA.ODAT.CD1,..,..,..,..,..
Afghanistan,AFG,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,0.124470105,0.130028865,0.154863501,0.211651122,..
Albania,ALB,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,1.318728624,1.3779071,1.528075213,1.657824765,1.633538298
Australia,AUS,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,15.27394082,15.24800422,15.44787314,14.47961866,13.58991348
Austria,AUT,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,0.521226518,0.514658532,0.518214579,0.508252963,0.510430237
Afghanistan,AFG,"Patent applications, nonresidents",IP.PAT.NRES,..,..,..,..,..
Albania,ALB,"Patent applications, nonresidents",IP.PAT.NRES,5,5,8,3,1
Australia,AUS,"Patent applications, nonresidents",IP.PAT.NRES,26314,25774,26403,27200,27121
Austria,AUT,"Patent applications, nonresidents",IP.PAT.NRES,236,237,232,168,208
Afghanistan,AFG,"Patent applications, residents",IP.PAT.RESD,..,..,..,..,..
Albania,ALB,"Patent applications, residents",IP.PAT.RESD,14,20,16,15,4
Australia,AUS,"Patent applications, residents",IP.PAT.RESD,2291,2620,2503,2757,2637
Austria,AUT,"Patent applications, residents",IP.PAT.RESD,2205,2078,2073,2039,2066
Afghanistan,AFG,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,73.3333,73.3333,73.3333,70,70
Albania,ALB,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,66.6667,86.6667,96.6667,86.6667,76.6667
Australia,AUS,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,..,..,..,..,..
Austria,AUT,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,..,..,..,..,..
Afghanistan,AFG,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,1.821996754,3.464844965,4.38709021,4.450984766,4.407426129
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,11.33644066,11.01076776,10.07568152,9.621064021,9.562579054
Australia,AUS,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,0.161021576,0.170454143,0.150874542,0.130303033,0.12588061
Austria,AUT,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,0.749691915,0.729485626,0.708653138,0.664060393,0.666719023
Afghanistan,AFG,"Plant species (higher), threatened",EN.HPT.THRD.NO,..,..,..,5,..
Albania,ALB,"Plant species (higher), threatened",EN.HPT.THRD.NO,..,..,..,4,..
Australia,AUS,"Plant species (higher), threatened",EN.HPT.THRD.NO,..,..,..,108,..
Austria,AUT,"Plant species (higher), threatened",EN.HPT.THRD.NO,..,..,..,17,..
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,61.2526558,56.28704672,56.91080835,..,..
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.51253962,18.18993375,18.20060252,..,..
Australia,AUS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.320015289,8.614508924,8.550324401,..,..
Austria,AUT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,13.54109517,12.59681605,12.47796673,..,..
Afghanistan,AFG,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,..,..
Albania,ALB,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,..,..
Australia,AUS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,26.04666675,24.90420852,24.89358377,..,..
Austria,AUT,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,91.47446535,85.01593469,85.05153767,..,..
Afghanistan,AFG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,99.83457048,99.63783715,99.66294971,..,..
Albania,ALB,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,0,0,0,..,..
Australia,AUS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,0,0,0,..,..
Austria,AUT,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,0,0,0,..,..
Afghanistan,AFG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,100,99.99964677,100,..,..
Albania,ALB,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,4.319194563,3.109564439,3.097346108,..,..
Australia,AUS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,0.370477163,0,0,..,..
Austria,AUT,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,0,0,0,..,..
Afghanistan,AFG,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,100,100,100,..,..
Albania,ALB,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,93.22256509,83.43250815,84.61336605,..,..
Australia,AUS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,13.62224639,9.220748288,9.220718344,..,..
Austria,AUT,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,25.88462946,8.649987414,14.13716593,..,..
Afghanistan,AFG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,71.30000305,..,70.69999695,..
Albania,ALB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..
Australia,AUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..
Austria,AUT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..
Afghanistan,AFG,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,80679314.06,99469761.46,-29571651.87,142704200.5,-14623495.63
Albania,ALB,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,-254256925.4,245500179.6,-100676648.1,-80670600.46,154704213.1
Australia,AUS,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,-42228978475,31210790667,-23718735774,14855578628,32990092828
Austria,AUT,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,15635864058,26648727355,21361937960,4117919283,-3835255637
Afghanistan,AFG,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,74.2561,81.2033,78.247,94.704,99.5084
Albania,ALB,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,94.48,95.9058,101.3905,95.791,94.6726
Australia,AUS,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,..,..,..,..,..
Austria,AUT,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,..,..,..,..,..
Afghanistan,AFG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..
Albania,ALB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,23.124,8.8,25.3,20.4,42.94
Australia,AUS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,401600,413490,..,..,..
Austria,AUT,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,20814,21361,22256,21996.241,21736
Afghanistan,AFG,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,..,..,..,..,..
Albania,ALB,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,6.99,3.2,2.4,2.7,..
Australia,AUS,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,16016.86065,16503.75857,17039.19373,17585.94717,..
Austria,AUT,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,12208,12578,12656.7,13204.7,..
Afghanistan,AFG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,86.05011125,..,..,..,..
Albania,ALB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,100,..,..,..,..
Australia,AUS,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,13.63784109,..,..,..,..
Austria,AUT,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,76.49077927,..,..,..,..
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,17.53,19.92,19.21,17.96,18.51
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,38.47,39.43,37.07,38.11,40.2
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,9.31,9.42,9.69,9.67,10.13
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,34.82,34.64,33.98,34.11,33.77
Afghanistan,AFG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,1299.037286,1268.430552,..
Albania,ALB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,9361.545907,9384.672359,..
Australia,AUS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,19998.48792,19693.63745,..
Austria,AUT,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,6251.729171,6221.352791,..
Afghanistan,AFG,"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,..,..,47.15000153,47.15000153,..
Albania,ALB,"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,..,..,26.89999962,26.89999962,..
Australia,AUS,"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,..,..,492,492,..
Austria,AUT,"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,..,..,55,55,..
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..
Australia,AUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.920830011,..,1.879259944,..,1.829280019
Austria,AUT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.049690008,3.116549969,3.05656004,3.090579987,3.129719973
Afghanistan,AFG,"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,3644.983442,3454.686816,3198.077226,3104.180593,2907.216903
Albania,ALB,"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,12196.90035,12043.24686,11785.116,11345.53608,11844.28191
Australia,AUS,"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,98656.7468,..,..,..,..
Austria,AUT,"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,81895.41668,81541.25393,80882.13098,81768.8908,82115.66066
Afghanistan,AFG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,40,40,40
Albania,ALB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,80,90
Australia,AUS,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,..,..,..,..,..
Austria,AUT,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,..,..,..,..,..
Afghanistan,AFG,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,51.1111,51.1111,51.1111,50,50
Albania,ALB,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,72.22223333,82.22223333,88.8889,82.22223333,78.8889
Australia,AUS,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,..,..,..
Austria,AUT,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,..,..,..
Afghanistan,AFG,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,..,..,..,8.38,..
Albania,ALB,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,1.24,1.44,1.22,1.47,1.47
Australia,AUS,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,2.5,2.3,2.23,2.22,2.03
Austria,AUT,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,2.73,2.48,2.48,2.46,2.55
Afghanistan,AFG,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,..,..,..,11.04,..
Albania,ALB,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,2.69,2.87,2.95,3.36,3.36
Australia,AUS,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,1.43,1.33,1.3,1.31,1.22
Austria,AUT,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,5.69,5.32,5.16,5.24,5.87
Afghanistan,AFG,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,..,..,..,5.63,..
Albania,ALB,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,1.11,1.06,0.85,1.02,1.02
Australia,AUS,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,1.9,1.18,0.89,0.86,0.77
Austria,AUT,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,2.02,2.09,1.96,1.83,1.84
Afghanistan,AFG,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,..,..,..,6.41,..
Albania,ALB,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,0.66,0.75,0.63,0.77,0.77
Australia,AUS,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2.31,1.41,0.97,0.95,0.83
Austria,AUT,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2.26,2.12,2.08,1.98,2.01
Afghanistan,AFG,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,..,..,..,4.94,..
Albania,ALB,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,1.95,1.82,1.26,1.99,1.99
Australia,AUS,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,0.52,0.44,0.62,0.58,0.6
Austria,AUT,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,1.69,2.1,1.84,1.59,1.64
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,7.585382331,9.502652783,9.898450897,..,..
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,18.51578986,17.59022981,18.88749198,18.54595166,18.14437719
Australia,AUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,21.88426984,22.27430773,22.08576752,23.19351734,23.41770851
Austria,AUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,26.82616742,25.41916923,25.42222618,25.40761932,25.55971855
Afghanistan,AFG,tax revenue (current LCU),GC.TAX.TOTL.CN,92750755157,1.16E+11,1.27E+11,..,..
Albania,ALB,tax revenue (current LCU),GC.TAX.TOTL.CN,2.66E+11,2.59E+11,2.93E+11,3.04E+11,3.07E+11
Australia,AUS,tax revenue (current LCU),GC.TAX.TOTL.CN,3.55E+11,3.69E+11,3.89E+11,4.27E+11,4.56E+11
Austria,AUT,tax revenue (current LCU),GC.TAX.TOTL.CN,92354240000,90900970000,93900010000,97927050000,1.02E+11
Afghanistan,AFG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,0.10470704,0.104707035,0.104707035,0.104707032
Albania,ALB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,13.14774946,13.52568255,13.52568255,14.17392921
Australia,AUS,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,28.59184172,29.70879373,29.70879373,29.70879173
Austria,AUT,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,28.44398259,28.39798166,28.39798166,28.41688347
Afghanistan,AFG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..,0.1,0.104707035,0.104707035,0.104707
Albania,ALB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..,17.21,17.73609531,17.73609531,18.58981
Australia,AUS,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..,16.98,19.26562231,19.26562231,19.26562
Austria,AUT,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..,28.44,28.39798166,28.39798166,28.41688
Afghanistan,AFG,Total fisheries production (metric tons),ER.FSH.PROD.MT,7200,8050,9000,10000,..
Albania,ALB,Total fisheries production (metric tons),ER.FSH.PROD.MT,11350.5,12611.7002,12994.2002,14906.2998,..
Australia,AUS,Total fisheries production (metric tons),ER.FSH.PROD.MT,286995.9375,313409.2813,319470.375,322235.2188,..
Austria,AUT,Total fisheries production (metric tons),ER.FSH.PROD.MT,3853.399902,3833.399902,4211.600098,4340.600098,..
Afghanistan,AFG,Total reserves in months of imports,FI.RES.TOTL.MO,9.77019396,11.82806038,12.13427664,12.17858686,13.74890911
Albania,ALB,Total reserves in months of imports,FI.RES.TOTL.MO,7.037583701,6.543502567,6.574895205,6.370557437,5.94458817
Australia,AUS,Total reserves in months of imports,FI.RES.TOTL.MO,1.608981926,1.903524114,2.104092471,1.595000978,1.812415508
Austria,AUT,Total reserves in months of imports,FI.RES.TOTL.MO,1.271902417,1.248241382,1.059624422,1.019144704,1.065930221
Afghanistan,AFG,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,1.030269554,..,..
Albania,ALB,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,10.27912448,..,..
Australia,AUS,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,89.12533927,..,..
Austria,AUT,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,114.2572798,..,..
